"",PLAYER_ID,PLAYER_NAME,PTS,AST,REB,BLK,STL,PF,TOV,PTS_diff,AST_diff,REB_diff,BLK_diff,STL_diff,PF_diff,TOV_diff,overall_avg_diff
189,1627750,Jamal Murray,21.72069,6.2034483,4.0448275,0.41379312,1.1275862,1.7586207,2.175862,6.608926,2.290577,1.759699,0.5089364,0.8623622,1.0398549,1.1685517,2.0341296
190,1629627,Zion Williamson,24.36087,4.3913045,6.5608697,0.6652174,1.052174,2.326087,2.7869565,6.102869,1.8933922,2.4658813,0.6889725,0.85769147,1.0524535,1.2971373,2.0511997
191,2544,LeBron James,26.22289,7.4698796,7.6054215,0.6415663,1.1114458,1.5210843,3.4759035,5.869003,2.1788082,2.4242735,0.6809184,0.83048457,1.0166917,1.4301709,2.0614786
192,203944,Julius Randle,22.34271,5.0306907,8.971867,0.30690536,0.7672634,2.8695652,3.0716112,6.3306336,1.967059,2.5571313,0.45029697,0.7746387,1.059386,1.2944314,2.0619397
193,203081,Damian Lillard,27.05614,7.2280703,4.463158,0.25964913,0.9508772,1.6807017,2.9192982,7.0778356,2.2574356,1.61895,0.38133872,0.767392,0.99212,1.4219233,2.0738566
194,1641708,Amen Thompson,13.546448,3.874317,7.4699454,0.86885244,1.3606558,2.3005464,1.9508197,5.2375693,1.9006745,3.253587,0.8307621,0.94775075,1.1942905,1.1682366,2.0761244
195,1628368,De'Aaron Fox,24.097034,6.1563344,4.180593,0.38814017,1.4393531,2.6172507,2.695418,6.72413,2.1966646,1.6944103,0.5129397,0.98126525,1.1567723,1.2707436,2.0767035
196,202331,Paul George,21.597174,4.5371027,5.8657246,0.44876325,1.5547704,2.5724382,2.770318,6.5351224,1.828571,2.1086133,0.53882116,0.9551021,1.1876348,1.3890048,2.0775526
197,201566,Russell Westbrook,16.03163,7.223844,6.720195,0.35036495,1.1873479,2.4914842,3.4671533,5.3366113,2.6556718,2.6609395,0.483063,0.8678927,1.0895373,1.5077999,2.0859306
198,1627759,Jaylen Brown,24.707775,3.8123324,6.168901,0.4075067,1.1313673,2.621984,2.780161,6.768863,1.6502875,2.3344088,0.52836174,0.84333664,1.1993709,1.3080459,2.090382
199,1631096,Chet Holmgren,16.512346,2.0925925,8.135802,2.1851852,0.6234568,2.4012346,1.6172839,5.8095937,1.2301072,2.9299195,1.7106936,0.65919393,1.2565467,1.0529948,2.0927215
